Traces,LRU,ship,,hawkeye_SAMPLED_CACHE_SIZE_700,hawkeye_SAMPLED_CACHE_SIZE_1400,hawkeye_base,hawkeye_SAMPLED_CACHE_SIZE_5600,hawkeye_SAMPLED_CACHE_SIZE_11200,,,hawkeye_SAMPLED_CACHE_SIZE_700,hawkeye_SAMPLED_CACHE_SIZE_1400,hawkeye_base,hawkeye_SAMPLED_CACHE_SIZE_5600,hawkeye_SAMPLED_CACHE_SIZE_11200
GemsFDTD_109B,0.283648,0.285414,,0.314235,0.314235,0.314225,0.314235,0.314235,,,1.057043608,1.058043608,1.058965237,1.059043608,1.059543608
GemsFDTD_712B,0.245121,0.2447,,0.264601,0.264601,0.264601,0.264601,0.264601,,,,,,,
GemsFDTD_716B,0.666375,0.665459,,0.664513,0.664513,0.664643,0.664513,0.664513,,,,,,,
astar_163B,0.660201,0.66247,,0.657786,0.657786,0.657786,0.657786,0.657786,,,,,,,
astar_23B,0.419457,0.41898,,0.416812,0.416812,0.416812,0.416812,0.416812,,,,,,,
astar_313B,0.146795,0.147964,,0.177973,0.177973,0.177906,0.177973,0.177973,,,,,,,
bwaves_1609B,0.2839,0.2839,,0.292293,0.292293,0.292293,0.292293,0.292293,,,,,,,
bwaves_1861B,0.322095,0.322136,,0.333476,0.333476,0.333476,0.333476,0.333476,,,,,,,
bwaves_98B,1.63098,1.63101,,1.63188,1.63188,1.63188,1.63188,1.63188,,,,,,,
bzip2_183B,1.21424,1.22327,,1.24345,1.24345,1.24346,1.24345,1.24345,,,,,,,
bzip2_259B,1.37101,1.40418,,1.40729,1.40729,1.40729,1.40729,1.40729,,,,,,,
bzip2_281B,1.35262,1.35926,,1.36606,1.36606,1.35982,1.36606,1.36606,,,,,,,
cactusADM_1039B,0.919853,0.92173,,1.2084,1.2084,1.20787,1.2084,1.2084,,,,,,,
cactusADM_1495B,0.947467,0.947964,,1.24377,1.24377,1.2439,1.24377,1.24377,,,,,,,
cactusADM_734B,0.908035,0.908763,,1.17981,1.17981,1.17989,1.17981,1.17981,,,,,,,
calculix_2655B,2.63851,2.66754,,2.67016,2.67016,2.67016,2.67016,2.67016,,,,,,,
calculix_2670B,2.81774,2.81774,,2.81774,2.81774,2.81774,2.81774,2.81774,,,,,,,
calculix_3812B,2.60616,2.65427,,2.58889,2.58889,2.58889,2.58889,2.58889,,,,,,,
gamess_196B,1.57002,1.57002,,1.57002,1.57002,1.57002,1.57002,1.57002,,,,,,,
gamess_247B,1.58687,1.58687,,1.58687,1.58687,1.58687,1.58687,1.58687,,,,,,,
gamess_316B,1.65947,1.65947,,1.65947,1.65947,1.65947,1.65947,1.65947,,,,,,,
gcc_13B,0.349187,0.348736,,0.374049,0.374049,0.373272,0.374049,0.374049,,,,,,,
gcc_39B,1.23344,1.23344,,1.23345,1.23345,1.23345,1.23345,1.23345,,,,,,,
gcc_56B,1.45843,1.45847,,1.45785,1.45785,1.45785,1.45785,1.45785,,,,,,,
gobmk_135B,0.882018,0.882233,,0.882307,0.882307,0.882303,0.882307,0.882307,,,,,,,
gobmk_60B,0.910497,0.9105,,0.910541,0.910541,0.91054,0.910541,0.910541,,,,,,,
gobmk_76B,0.873691,0.87384,,0.873754,0.873754,0.873748,0.873754,0.873754,,,,,,,
gromacs_0B,1.83077,1.83077,,1.83077,1.83077,1.83077,1.83077,1.83077,,,,,,,
gromacs_1B,1.79082,1.79082,,1.79082,1.79082,1.79082,1.79082,1.79082,,,,,,,
h264ref_178B,1.58487,1.58868,,1.59794,1.59794,1.59805,1.59794,1.59794,,,,,,,
h264ref_273B,1.43549,1.44032,,1.44725,1.44725,1.44734,1.44725,1.44725,,,,,,,
h264ref_351B,1.45216,1.45819,,1.46689,1.46689,1.46696,1.46689,1.46689,,,,,,,
hmmer_397B,1.97556,2.00264,,2.12941,2.12941,2.12941,2.12941,2.12941,,,,,,,
hmmer_546B,2.30368,2.30371,,2.30363,2.30363,2.30363,2.30363,2.30363,,,,,,,
hmmer_7B,2.04122,2.07903,,2.17459,2.17459,2.17418,2.17459,2.17459,,,,,,,
lbm_1004B,0.245498,0.245418,,0.308473,0.308473,0.30815,0.308473,0.308473,,,,,,,
lbm_564B,0.236169,0.235957,,0.298405,0.298405,0.298574,0.298405,0.298405,,,,,,,
lbm_94B,0.25574,0.25564,,0.327318,0.327318,0.328647,0.327318,0.327318,,,,,,,
leslie3d_1116B,0.483338,0.511825,,0.565028,0.565028,0.564357,0.565028,0.565028,,,,,,,
leslie3d_1186B,0.565233,0.59341,,0.618223,0.618223,0.617025,0.618223,0.618223,,,,,,,
leslie3d_94B,0.424226,0.423895,,0.429038,0.429038,0.42922,0.429038,0.429038,,,,,,,
libquantum_1210B,0.315119,0.31503,,0.329262,0.329262,0.329262,0.329262,0.329262,,,,,,,
libquantum_1735B,0.315677,0.315678,,0.304727,0.304727,0.304727,0.304727,0.304727,,,,,,,
libquantum_964B,0.584076,0.583197,,0.59774,0.59774,0.59774,0.59774,0.59774,,,,,,,
mcf_158B,0.070319,0.0724403,,0.0816203,0.0816203,0.0816203,0.0816203,0.0816203,,,,,,,
mcf_250B,0.0633837,0.0664612,,0.0713127,0.0713127,0.0713127,0.0713127,0.0713127,,,,,,,
mcf_46B,0.0797116,0.0818961,,0.091271,0.091271,0.091271,0.091271,0.091271,,,,,,,
milc_360B,0.564018,0.560838,,0.559011,0.559011,0.563944,0.559011,0.559011,,,,,,,
milc_409B,0.582121,0.578301,,0.580058,0.580058,0.580621,0.580058,0.580058,,,,,,,
milc_744B,0.653594,0.653266,,0.647206,0.647206,0.648207,0.647206,0.647206,,,,,,,
namd_1907B,2.41199,2.41199,,2.41199,2.41199,2.41199,2.41199,2.41199,,,,,,,
