Traces,LRU,ship,shippp_base,shippp_maxSHCTR_5,shippp_maxSHCTR_6,shippp_maxSHCTR_8,shippp_maxSHCTR_9,
GemsFDTD_109B, 29.5603, 29.4737, 35.9876, 36.0329, 36.1157, 36.0779, 36.1429,
GemsFDTD_712B, 30.8693, 31.0156, 39.9325, 39.9074, 39.9409, 39.9545, 39.9312,
GemsFDTD_716B, 14.2988, 14.258, 14.1951, 14.2193, 14.2115, 14.1903, 14.1692,
astar_163B, 1.04899, 1.00637, 2.04372, 2.15517, 2.11383, 2.12041, 2.15429,
astar_23B, 2.34687, 2.47195, 2.74636, 2.77171, 2.74903, 2.72087, 2.71601,
astar_313B, 40.2296, 41.6347, 42.8221, 22.1792, 22.1792, 22.1792, 22.1792,
bwaves_1609B, 22.7676, 22.7674, 22.1795, 23.7864, 23.7864, 23.7864, 23.7864,
bwaves_1861B, 23.1781, 23.1784, 23.8039, 0.49189, 0.49189, 0.49189, 0.49189,
bwaves_98B, 0.44515, 0.44537, 0.50006, 1.36808, 1.37018, 1.36094, 1.36485,
bzip2_183B, 1.50236, 1.48723, 1.46662, 2.81061, 2.82506, 2.79679, 2.80632,
bzip2_259B, 3.02356, 2.74037, 2.85094, 2.25888, 2.21418, 2.2478, 2.14841,
bzip2_281B, 2.38, 2.28488, 2.2452, 8.26933, 8.23293, 8.22322, 8.19825,
cactusADM_1039B, 8.95289, 8.95423, 8.22831, 7.84823, 7.89316, 7.81999, 7.75586,
cactusADM_1495B, 8.57671, 8.57878, 7.88297, 1.29885, 1.30571, 1.30016, 1.29166,
cactusADM_734B, 8.93522, 8.9418, 8.17769, 0.0189, 0.0189, 0.0189, 0.0189,
calculix_2655B, 1.13043, 1.11835, 1.4054, 0.85901, 0.99063, 1.11169, 1.1106,
calculix_2670B, 0.0189, 0.0189, 0.0189, 0.03107, 0.03107, 0.03107, 0.03107,
calculix_3812B, 0.83019, 0.74979, 1.15278, 0.01337, 0.01337, 0.01337, 0.01337,
gamess_196B, 0.03107, 0.03107, 0.03107, 0.03052, 0.03052, 0.03052, 0.03052,
gamess_247B, 0.01337, 0.01337, 0.01337, 16.9566, 16.6289, 16.7444, 16.7109,
gamess_316B, 0.03052, 0.03052, 0.03052, 0.24576, 0.24576, 0.24576, 0.24576,
gcc_13B, 14.5893, 14.6205, 16.5722, 0.56731, 0.56731, 0.56731, 0.56731,
gcc_39B, 0.24572, 0.24577, 0.24573, 0.28668, 0.28666, 0.28647, 0.28666,
gcc_56B, 0.54689, 0.54392, 0.57387, 0.27644, 0.27595, 0.27596, 0.27596,
gobmk_135B, 0.274, 0.27159, 0.28479, 0.23128, 0.22988, 0.22992, 0.22994,
gobmk_60B, 0.26712, 0.26826, 0.27767, 0.22208, 0.22208, 0.22208, 0.22208,
gobmk_76B, 0.23215, 0.22875, 0.23444, 0.07006, 0.07006, 0.07006, 0.07006,
gromacs_0B, 0.22212, 0.22212, 0.22212, 0.7045, 0.70435, 0.70314, 0.70257,
gromacs_1B, 0.07009, 0.07009, 0.07009, 0.76351, 0.76691, 0.76887, 0.7592,
h264ref_178B, 0.76607, 0.745, 0.72132, 0.81463, 0.81316, 0.81217, 0.8128,
h264ref_273B, 0.79852, 0.75638, 0.7113, 2.80824, 2.70114, 2.92924, 2.98546,
h264ref_351B, 0.88766, 0.87988, 0.84195, 0.14686, 0.14686, 0.14686, 0.14686,
hmmer_397B, 1.54841, 1.55335, 2.8627, 1.52377, 1.51196, 1.50894, 1.51472,
hmmer_546B, 0.14692, 0.14678, 0.14707, 43.8616, 43.8888, 44.3983, 44.6647,
hmmer_7B, 1.096, 1.0774, 1.44577, 45.4164, 46.2346, 46.9486, 46.0885,
lbm_1004B, 32.253, 32.313, 44.603, 40.8601, 41.4682, 41.5142, 42.4202,
lbm_564B, 33.74, 33.8364, 46.2595, 28.1105, 27.8961, 28.3576, 28.0152,
lbm_94B, 30.5374, 30.6043, 42.5176, 23.7371, 23.7268, 23.9109, 23.9398,
leslie3d_1116B, 25.7597, 24.621, 27.8804, 33.3168, 33.3127, 33.2999, 33.2292,
leslie3d_1186B, 21.1454, 20.2981, 23.769, 38.3698, 38.3749, 38.382, 38.3862,
leslie3d_94B, 26.0669, 26.0354, 33.3126, 36.3449, 36.3828, 36.4269, 36.4227,
libquantum_1210B, 30.0682, 30.0682, 38.395, 46.3868, 46.3676, 46.5065, 46.5078,
libquantum_1735B, 27.8944, 27.8944, 36.4794, 63.2452, 62.4428, 62.5379, 62.5132,
libquantum_964B, 33.9044, 33.9047, 46.3428, 68.5769, 68.5193, 68.5111, 68.4599,
mcf_158B, 76.099, 72.1072, 62.8798, 62.6997, 62.7002, 62.3574, 61.8727,
mcf_250B, 89.1631, 80.0199, 68.629, 27.8005, 27.8005, 27.8005, 27.8005,
mcf_46B, 70.3854, 67.7448, 61.3205, 26.3185, 26.3185, 26.3185, 26.3185,
milc_360B, 20.9585, 21.0882, 27.7348, 23.8786, 23.8786, 23.8786, 23.8786,
milc_409B, 18.1755, 18.3126, 26.0917, 0.08411, 0.08411, 0.08411, 0.08411,
milc_744B, 17.4449, 17.4885, 23.775, 0.0487, 0.0487, 0.0487, 0.0487,
namd_1907B, 0.08411, 0.08411, 0.08411, 0.10362, 0.10362, 0.10362, 0.10362,
namd_400B, 0.0487, 0.0487, 0.0487, 2.69694, 2.71938, 2.71199, 2.7132,
namd_851B, 0.10364, 0.10364, 0.10364, 20.3199, 20.332, 20.1793, 20.2541,
omnetpp_17B, 10.3038, 5.38986, 2.78497, 2.58549, 2.57015, 2.59474, 2.60973,
omnetpp_340B, 17.0106, 17.2048, 19.7728, 0.19871, 0.19871, 0.19871, 0.19871,
omnetpp_4B, 6.74132, 3.52066, 2.6724, 0.24477, 0.24442, 0.24426, 0.24415,
perlbench_105B, 0.19883, 0.19885, 0.19883, 0.20569, 0.20508, 0.20569, 0.20532,
